,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
263,2024-10-01T23:52:46.663Z,3.7667,95.846,46.666,4.6,mb,40.0,132.0,1.82,0.75,us,us7000nhl1,2024-10-04T00:11:45.040Z,"52 km SW of Meulaboh, Indonesia",earthquake,8.7,8.038,0.101,29.0,reviewed,us,us
265,2024-10-01T21:59:27.685Z,-16.4767,-173.7322,61.539,4.7,mb,38.0,102.0,3.172,0.8,us,us7000nhkj,2024-10-01T22:26:16.040Z,"58 km S of Hihifo, Tonga",earthquake,11.0,6.464,0.093,35.0,reviewed,us,us
267,2024-10-01T21:37:58.368Z,-1.0637,127.447,10.0,4.7,mb,37.0,83.0,1.825,0.84,us,us7000nhke,2024-10-01T22:16:25.040Z,"48 km S of Labuha, Indonesia",earthquake,7.4,1.904,0.101,33.0,reviewed,us,us
268,2024-10-01T21:19:49.696Z,14.2112,124.8534,10.0,5.9,mww,104.0,24.0,7.132,0.92,us,us7000nhk8,2024-10-02T21:23:55.061Z,"69 km ENE of Panganiban, Philippines",earthquake,7.9,1.833,0.046,46.0,reviewed,us,us
270,2024-10-01T20:41:25.600Z,-19.6406,-69.2314,107.995,4.4,mb,26.0,86.0,0.045,0.62,us,us7000nhk1,2024-10-01T21:28:36.040Z,"41 km SSE of Camiña, Chile",earthquake,5.1,4.275,0.13,17.0,reviewed,us,us
272,2024-10-01T20:05:33.583Z,-19.3448,-172.7124,10.0,6.6,mww,88.0,32.0,2.645,1.16,us,us7000nhjw,2024-10-07T18:43:07.416Z,"154 km ESE of Neiafu, Tonga",earthquake,6.58,1.75,0.055,32.0,reviewed,us,us
276,2024-10-01T16:02:12.689Z,-49.0086,121.4104,10.0,4.6,mb,32.0,114.0,16.366,0.43,us,us7000nhhx,2024-10-01T17:26:00.040Z,western Indian-Antarctic Ridge,earthquake,8.08,1.784,0.105,29.0,reviewed,us,us
277,2024-10-01T15:43:45.483Z,-14.8145,168.0111,10.441,4.6,mb,43.0,140.0,6.719,0.72,us,us7000nhhs,2024-10-01T16:38:23.040Z,"104 km ENE of Port-Olry, Vanuatu",earthquake,9.54,4.755,0.092,39.0,reviewed,us,us
284,2024-10-01T11:16:05.886Z,-2.905,129.5378,10.0,4.5,mb,24.0,78.0,1.648,0.78,us,us7000nhg2,2024-10-02T08:10:01.040Z,"76 km NE of Masohi, Indonesia",earthquake,7.39,1.874,0.113,23.0,reviewed,us,us
286,2024-10-01T10:11:50.864Z,52.8205,160.2583,37.496,4.9,mb,78.0,106.0,0.995,0.7,us,us7000nhft,2024-10-01T10:34:37.040Z,"112 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,7.78,6.287,0.04,202.0,reviewed,us,us
287,2024-10-01T09:28:05.902Z,-5.9971,124.9161,587.533,6.1,mww,95.0,23.0,3.732,0.71,us,us7000nhex,2024-10-02T09:34:44.962Z,"262 km ESE of Baubau, Indonesia",earthquake,7.62,5.658,0.051,37.0,reviewed,us,us
289,2024-10-01T09:17:15.681Z,-2.6637,-80.9125,35.0,4.6,mb,85.0,153.0,1.437,0.61,us,us7000nhew,2024-10-01T13:42:33.040Z,"47 km S of La Libertad, Ecuador",earthquake,10.2,1.948,0.048,127.0,reviewed,us,us
290,2024-10-01T09:07:36.450Z,-2.7017,-80.8537,35.0,4.5,mwr,70.0,153.0,1.395,0.68,us,us7000nhes,2024-10-01T11:22:17.040Z,"52 km S of La Libertad, Ecuador",earthquake,7.06,1.638,0.068,21.0,reviewed,us,us
292,2024-10-01T08:38:38.191Z,-19.8874,-175.3295,164.536,4.5,mb,37.0,84.0,1.522,1.22,us,us7000nhel,2024-10-01T09:00:05.040Z,"102 km W of Pangai, Tonga",earthquake,10.06,9.214,0.078,48.0,reviewed,us,us
294,2024-10-01T08:23:24.576Z,-19.6058,-174.0438,10.0,5.0,mb,43.0,87.0,1.959,1.77,us,us7000nhee,2024-10-01T20:32:16.784Z,"33 km ENE of Fangale’ounga, Tonga",earthquake,7.69,1.885,0.034,279.0,reviewed,us,us
295,2024-10-01T08:23:12.164Z,4.3436,-87.4192,20.973,4.7,mww,58.0,102.0,5.942,1.4,us,us7000nhec,2024-10-01T08:56:23.040Z,off the coast of Central America,earthquake,7.89,5.563,0.068,21.0,reviewed,us,us
298,2024-10-01T07:10:38.587Z,0.4903,122.2921,121.587,5.0,mb,63.0,59.0,1.596,0.85,us,us7000nhe1,2024-10-01T07:28:26.040Z,"85 km W of Gorontalo, Indonesia",earthquake,7.02,5.419,0.069,68.0,reviewed,us,us
300,2024-10-01T05:52:49.980Z,31.4537,132.406,15.014,4.6,mb,28.0,129.0,1.67,0.65,us,us7000nhdq,2024-10-01T06:53:42.040Z,"100 km E of Nichinan, Japan",earthquake,6.55,4.752,0.112,24.0,reviewed,us,us
302,2024-10-01T05:01:57.237Z,-20.1953,-70.6982,21.903,5.3,mww,77.0,109.0,0.538,0.94,us,us7000nhdc,2024-10-02T00:27:35.082Z,"56 km W of Puerto, Chile",earthquake,3.91,2.814,0.066,22.0,reviewed,us,us
303,2024-10-01T04:49:40.351Z,-41.5731,174.3037,18.783,4.7,mb,35.0,62.0,0.401,0.7,us,us7000nhda,2024-10-05T16:28:23.946Z,"29 km E of Witherlea, New Zealand",earthquake,3.33,4.374,0.137,16.0,reviewed,us,us
305,2024-10-01T02:18:22.043Z,1.1363,98.8305,103.875,5.0,mb,81.0,37.0,1.266,0.72,us,us7000nhcp,2024-10-02T04:13:38.040Z,"55 km WSW of Padangsidempuan, Indonesia",earthquake,5.85,1.874,0.055,106.0,reviewed,us,us
307,2024-10-01T01:33:38.720Z,-5.2467,152.5585,35.0,5.0,mb,44.0,50.0,1.12,0.73,us,us7000nhci,2024-10-02T03:44:30.040Z,"104 km SSE of Kokopo, Papua New Guinea",earthquake,8.96,1.844,0.058,95.0,reviewed,us,us
309,2024-09-30T23:38:49.801Z,52.7911,160.2161,39.467,4.4,mb,39.0,160.0,0.977,0.97,us,us7000nhby,2024-09-30T23:57:56.040Z,"111 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,9.52,8.821,0.078,47.0,reviewed,us,us
314,2024-09-30T17:38:33.888Z,13.2511,-90.909,41.195,4.6,mb,63.0,143.0,1.274,0.74,us,us7000nha6,2024-09-30T20:07:55.040Z,"75 km S of Puerto San José, Guatemala",earthquake,7.66,7.322,0.044,155.0,reviewed,us,us
315,2024-09-30T15:25:17.084Z,-5.7105,131.2208,79.258,4.6,mb,28.0,88.0,1.764,0.83,us,us7000nh91,2024-09-30T18:53:29.040Z,"169 km W of Tual, Indonesia",earthquake,7.88,4.64,0.122,20.0,reviewed,us,us
316,2024-09-30T15:19:27.825Z,52.6976,160.1777,53.094,4.4,mb,46.0,120.0,0.982,0.74,us,us7000nh90,2024-09-30T17:06:05.040Z,"112 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,8.06,6.106,0.083,42.0,reviewed,us,us
318,2024-09-30T12:21:58.647Z,53.0351,160.2623,31.539,5.9,mww,110.0,76.0,0.974,1.61,us,us7000nh82,2024-10-01T12:25:26.921Z,"109 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,7.52,3.556,0.041,56.0,reviewed,us,us
321,2024-09-30T10:04:46.755Z,8.5437,126.6047,86.864,4.6,mb,42.0,132.0,1.783,1.71,us,us7000nh7k,2024-10-08T06:42:07.040Z,"35 km ENE of Hinatuan, Philippines",earthquake,13.38,6.54,0.088,38.0,reviewed,us,us
324,2024-09-30T02:44:33.591Z,9.1226,40.0768,10.0,4.5,mb,28.0,110.0,3.627,0.46,us,us7000nh6y,2024-10-06T18:27:57.768Z,"18 km NNW of Āwash, Ethiopia",earthquake,12.31,1.944,0.118,21.0,reviewed,us,us
325,2024-09-30T01:47:59.283Z,13.2365,-91.0562,35.0,4.4,mb,51.0,149.0,1.397,0.47,us,us7000nh62,2024-10-01T03:02:13.403Z,"80 km SSW of Puerto San José, Guatemala",earthquake,6.18,1.937,0.053,105.0,reviewed,us,us
330,2024-09-29T20:02:26.489Z,-20.7721,-67.3645,194.228,4.4,mb,45.0,66.0,1.791,0.72,us,us7000nh55,2024-09-29T20:26:42.040Z,"66 km WSW of Uyuni, Bolivia",earthquake,4.47,8.02,0.067,65.0,reviewed,us,us
333,2024-09-29T17:50:16.198Z,36.4983,70.7965,187.853,4.4,mb,49.0,130.0,2.582,0.66,us,us7000nh4q,2024-09-29T18:05:52.040Z,"40 km S of Jurm, Afghanistan",earthquake,5.95,8.539,0.087,38.0,reviewed,us,us
338,2024-09-29T11:09:14.196Z,2.5052,126.829,25.543,5.2,mww,93.0,68.0,1.804,1.19,us,us7000nh3j,2024-09-29T12:50:27.040Z,"156 km WNW of Tobelo, Indonesia",earthquake,6.34,4.591,0.11,8.0,reviewed,us,us
343,2024-09-29T07:05:47.171Z,6.7894,-73.1424,156.292,4.7,mb,50.0,43.0,0.893,0.76,us,us7000nh2v,2024-09-29T07:24:01.040Z,"8 km NW of Jordán, Colombia",earthquake,8.87,6.236,0.028,397.0,reviewed,us,us
344,2024-09-29T06:53:34.095Z,10.5372,124.3913,10.0,5.1,mww,60.0,55.0,3.64,1.06,us,us7000nh2p,2024-09-30T13:25:11.509Z,"10 km S of Poro, Philippines",earthquake,9.89,1.876,0.075,17.0,reviewed,us,us
345,2024-09-29T06:27:55.356Z,-4.1149,129.8534,31.342,4.7,mb,39.0,86.0,0.408,0.37,us,us7000nh2n,2024-09-29T06:59:47.040Z,"133 km SE of Masohi, Indonesia",earthquake,7.74,5.643,0.092,36.0,reviewed,us,us
346,2024-09-29T05:18:46.337Z,79.9698,136.8281,10.0,4.6,mb,75.0,94.0,8.592,0.82,us,us7000nh2f,2024-09-29T05:53:59.040Z,north of the New Siberian Islands,earthquake,9.57,1.917,0.048,132.0,reviewed,us,us
347,2024-09-29T04:25:22.806Z,34.0907,70.953,49.326,4.5,mb,34.0,170.0,4.821,0.94,us,us7000nh29,2024-09-29T04:44:41.040Z,"17 km W of Landi Kotal, Pakistan",earthquake,12.19,9.697,0.094,33.0,reviewed,us,us
350,2024-09-29T01:46:35.148Z,-21.2604,-70.2415,62.86,4.5,mb,38.0,139.0,0.445,0.67,us,us7000nh1r,2024-09-30T00:17:55.312Z,"92 km N of Tocopilla, Chile",earthquake,5.78,5.639,0.076,51.0,reviewed,us,us
355,2024-09-28T19:56:28.995Z,38.0262,69.91,42.053,4.4,mb,38.0,215.0,0.949,1.32,us,us7000nh0t,2024-09-28T22:30:44.040Z,"13 km SW of Mŭ’minobod, Tajikistan",earthquake,5.62,8.496,0.092,34.0,reviewed,us,us
358,2024-09-28T19:12:09.277Z,11.8363,-73.5207,10.0,4.5,mb,47.0,62.0,3.505,0.9,us,us7000nh0q,2024-09-28T19:29:46.040Z,"66 km NNW of Dibulla, Colombia",earthquake,3.92,1.918,0.058,88.0,reviewed,us,us
360,2024-09-28T18:28:15.460Z,3.1922,125.6232,164.733,4.6,mb,76.0,68.0,2.969,0.77,us,us7000nh0m,2024-09-28T22:01:01.040Z,"201 km NNE of Bitung, Indonesia",earthquake,6.56,7.219,0.063,82.0,reviewed,us,us
362,2024-09-28T17:09:55.172Z,3.0599,122.4001,539.486,4.5,mb,127.0,35.0,2.522,0.54,us,us7000nh0f,2024-09-28T21:11:46.040Z,"288 km NNW of Gorontalo, Indonesia",earthquake,9.8,6.428,0.052,119.0,reviewed,us,us
363,2024-09-28T16:52:40.597Z,-15.4248,-178.7128,10.0,5.1,mww,63.0,122.0,1.249,0.56,us,us7000nh0b,2024-10-01T16:11:51.040Z,"138 km SSW of Leava, Wallis and Futuna",earthquake,5.49,1.847,0.089,12.0,reviewed,us,us
365,2024-09-28T15:43:06.084Z,80.0092,137.186,10.0,4.9,mb,179.0,78.0,8.649,0.68,us,us7000ngzz,2024-09-28T17:04:20.040Z,Lomonosov Ridge,earthquake,9.31,1.796,0.029,377.0,reviewed,us,us
366,2024-09-28T15:40:47.777Z,-11.0417,161.399,15.819,5.0,mww,86.0,44.0,2.14,0.63,us,us7000ngzw,2024-09-28T16:06:45.040Z,"86 km SW of Kirakira, Solomon Islands",earthquake,8.25,3.932,0.089,12.0,reviewed,us,us
369,2024-09-28T13:09:25.342Z,38.0566,73.2882,10.0,4.6,mb,41.0,147.0,2.773,1.05,us,us7000ngzd,2024-09-28T13:56:50.040Z,"60 km WSW of Murghob, Tajikistan",earthquake,6.89,1.928,0.09,37.0,reviewed,us,us
372,2024-09-28T12:32:38.055Z,25.8313,141.6942,82.973,5.1,mb,61.0,103.0,1.334,0.83,us,us7000ngz7,2024-09-28T12:50:40.040Z,"Volcano Islands, Japan region",earthquake,10.31,6.89,0.057,100.0,reviewed,us,us
374,2024-09-28T12:18:14.459Z,37.2959,21.2822,17.489,4.7,mb,46.0,52.0,0.526,1.05,us,us7000ngz5,2024-09-29T05:48:03.071Z,"31 km WNW of Filiatrá, Greece",earthquake,3.33,4.83,0.104,28.0,reviewed,us,us
375,2024-09-28T12:14:10.186Z,39.0734,56.0594,10.0,4.6,mb,34.0,125.0,1.977,1.06,us,us7000ngz3,2024-09-28T13:16:13.040Z,"21 km WNW of Serdar, Turkmenistan",earthquake,5.21,1.93,0.107,26.0,reviewed,us,us
379,2024-09-28T03:06:12.310Z,41.8627,-126.8396,10.0,4.6,mb,71.0,174.0,1.907,0.67,us,us7000ngxs,2024-09-28T14:29:46.486Z,"207 km WSW of Pistol River, Oregon",earthquake,8.81,1.877,0.092,35.0,reviewed,us,us
380,2024-09-28T03:04:15.149Z,41.8543,-126.8404,10.0,5.1,mww,69.0,213.0,1.91,1.35,us,us7000ngxr,2024-10-08T03:14:27.654Z,"207 km WSW of Pistol River, Oregon",earthquake,3.95,2.005,0.044,49.0,reviewed,us,us
382,2024-09-27T23:45:24.949Z,8.9123,40.2427,10.0,4.6,mb,32.0,262.0,3.652,0.55,us,us7000ngx8,2024-09-28T03:09:30.996Z,"11 km SE of Āwash, Ethiopia",earthquake,10.51,1.985,0.109,25.0,reviewed,us,us
383,2024-09-27T23:39:25.106Z,10.9783,-62.6547,107.729,4.8,mb,47.0,72.0,1.509,0.78,us,us7000ngx7,2024-09-28T00:14:32.276Z,"49 km NNE of Yaguaraparo, Venezuela",earthquake,6.53,6.848,0.043,169.0,reviewed,us,us
384,2024-09-27T22:22:50.326Z,53.8846,158.6995,151.721,4.6,mb,139.0,89.0,0.863,0.62,us,us7000ngwt,2024-09-27T22:42:14.040Z,"80 km NNE of Yelizovo, Russia",earthquake,10.03,7.394,0.044,157.0,reviewed,us,us
385,2024-09-27T22:04:23.119Z,-19.2663,169.1929,129.398,4.8,mb,24.0,131.0,3.708,0.98,us,us7000ngwr,2024-09-27T22:23:44.040Z,Vanuatu,earthquake,11.85,8.981,0.118,22.0,reviewed,us,us
386,2024-09-27T21:56:45.857Z,-22.9511,-177.0742,153.496,4.9,mb,57.0,66.0,2.511,0.94,us,us7000ngwn,2024-09-27T22:16:33.040Z,"268 km SW of Houma, Tonga",earthquake,10.88,7.172,0.042,176.0,reviewed,us,us
389,2024-09-27T14:58:08.399Z,-19.9897,169.3085,103.093,5.1,mww,83.0,64.0,3.135,1.03,us,us7000ngth,2024-09-27T15:12:34.040Z,"49 km S of Isangel, Vanuatu",earthquake,6.73,4.536,0.071,19.0,reviewed,us,us
391,2024-09-27T13:50:24.093Z,12.3818,142.8257,26.897,4.9,mb,51.0,91.0,4.042,0.96,us,us7000ngt9,2024-09-27T14:08:05.040Z,"222 km WSW of Merizo Village, Guam",earthquake,10.46,4.885,0.063,79.0,reviewed,us,us
394,2024-09-27T12:20:07.035Z,9.1726,40.0291,10.0,4.5,mb,29.0,104.0,3.63,0.71,us,us7000ngt3,2024-09-28T04:55:14.040Z,"25 km NW of Āwash, Ethiopia",earthquake,11.45,1.918,0.116,22.0,reviewed,us,us
395,2024-09-27T11:20:17.313Z,-30.8448,-179.7471,355.386,5.2,mb,76.0,65.0,2.235,0.77,us,us7000ngsr,2024-09-30T09:09:47.040Z,Kermadec Islands region,earthquake,4.37,5.822,0.033,308.0,reviewed,us,us
396,2024-09-27T10:44:20.034Z,-24.8731,178.5262,608.427,4.6,mb,56.0,128.0,5.38,0.64,us,us7000ngsn,2024-09-27T11:14:33.040Z,south of the Fiji Islands,earthquake,14.33,9.564,0.077,50.0,reviewed,us,us
397,2024-09-27T09:37:26.438Z,-13.6744,-171.3992,10.0,4.5,mb,17.0,91.0,0.439,0.65,us,us7000ngsh,2024-09-27T18:29:38.848Z,"30 km NE of Lufilufi, Samoa",earthquake,1.97,1.902,0.222,7.0,reviewed,us,us
401,2024-09-27T06:35:29.396Z,78.7232,-19.7205,8.799,4.4,mb,43.0,69.0,6.106,0.74,us,us7000ngri,2024-09-27T07:12:43.040Z,eastern Greenland,earthquake,8.77,5.209,0.095,32.0,reviewed,us,us
403,2024-09-27T05:40:55.288Z,-7.1974,147.3316,58.397,4.9,mb,45.0,81.0,2.2,1.01,us,us7000ngr9,2024-09-27T06:02:07.040Z,"64 km SE of Lae, Papua New Guinea",earthquake,8.74,7.522,0.076,55.0,reviewed,us,us
405,2024-09-27T04:36:20.269Z,8.9423,40.0832,10.0,4.9,mb,47.0,195.0,3.743,0.67,us,us7000ngr4,2024-09-28T00:28:41.641Z,"10 km WSW of Āwash, Ethiopia",earthquake,13.55,1.957,0.077,53.0,reviewed,us,us
406,2024-09-27T03:39:31.854Z,11.8785,-87.6523,51.404,5.1,mww,70.0,135.0,1.021,0.93,us,us7000ngr0,2024-09-27T13:35:29.040Z,"84 km SW of Corinto, Nicaragua",earthquake,6.64,7.701,0.08,15.0,reviewed,us,us
408,2024-09-27T02:23:00.695Z,-10.9539,161.4818,10.0,5.3,mww,37.0,101.0,2.133,1.14,us,us7000ngqn,2024-09-27T13:27:09.040Z,"73 km SW of Kirakira, Solomon Islands",earthquake,7.68,1.785,0.098,10.0,reviewed,us,us
410,2024-09-27T01:35:43.856Z,-11.4799,-13.5756,10.0,4.9,mb,26.0,110.0,3.608,0.67,us,us7000ngrc,2024-09-28T21:52:21.040Z,Ascension Island region,earthquake,12.04,1.881,0.112,25.0,reviewed,us,us
416,2024-09-26T23:27:42.648Z,8.26,127.3102,10.0,4.7,mb,59.0,109.0,2.084,0.58,us,us7000ngpz,2024-09-30T21:33:29.040Z,"97 km E of Barcelona, Philippines",earthquake,8.68,1.849,0.058,90.0,reviewed,us,us
417,2024-09-26T23:16:59.262Z,-22.9373,-70.4429,35.0,4.4,mb,22.0,161.0,0.582,0.72,us,us7000ngpx,2024-09-30T20:54:26.040Z,"18 km N of Mejillones, Chile",earthquake,3.43,1.973,0.267,4.0,reviewed,us,us
419,2024-09-26T22:02:01.283Z,-41.4806,-86.4253,10.0,5.1,mb,84.0,39.0,10.1,0.92,us,us7000ngpk,2024-09-30T04:37:24.040Z,West Chile Rise,earthquake,4.59,1.785,0.042,183.0,reviewed,us,us
423,2024-09-26T19:19:28.811Z,-17.1899,66.5466,10.0,6.3,mww,101.0,29.0,3.949,0.83,us,us7000ngmr,2024-09-27T19:21:59.721Z,Mauritius - Reunion region,earthquake,8.04,1.82,0.052,36.0,reviewed,us,us
424,2024-09-26T19:03:02.951Z,18.1862,-100.4196,70.492,5.0,mb,134.0,158.0,1.636,0.97,us,us7000ngme,2024-09-27T14:37:30.638Z,"4 km NW of San Miguel Totolapan, Mexico",earthquake,5.79,7.299,0.028,414.0,reviewed,us,us
434,2024-09-26T10:07:16.428Z,-16.7015,-72.1316,89.083,4.5,mb,36.0,142.0,2.381,0.92,us,us7000ngis,2024-09-27T18:39:34.623Z,"23 km SSW of Santa Rita de Siguas, Peru",earthquake,9.52,9.881,0.108,25.0,reviewed,us,us
435,2024-09-26T08:33:10.208Z,19.0024,146.4437,82.666,4.8,mb,75.0,82.0,3.793,0.71,us,us7000ngij,2024-09-26T09:04:31.040Z,Mariana Islands region,earthquake,9.99,7.022,0.039,205.0,reviewed,us,us
437,2024-09-26T07:54:30.564Z,12.2866,-88.1028,48.082,4.7,mb,98.0,157.0,1.195,0.96,us,us7000ngi9,2024-09-26T08:15:19.040Z,"87 km SW of Jiquilillo, Nicaragua",earthquake,6.88,5.346,0.044,160.0,reviewed,us,us
439,2024-09-26T07:01:10.361Z,42.8149,145.0395,57.887,5.5,mww,133.0,36.0,1.607,0.77,us,us7000ngi1,2024-10-07T19:36:45.676Z,"28 km SSE of Akkeshi, Japan",earthquake,7.74,5.557,0.071,19.0,reviewed,us,us
446,2024-09-26T01:40:51.456Z,27.6668,143.0956,10.0,4.8,mb,69.0,117.0,0.99,0.54,us,us7000nggx,2024-09-26T01:59:34.040Z,"Bonin Islands, Japan region",earthquake,4.04,1.879,0.051,119.0,reviewed,us,us
447,2024-09-26T01:17:15.877Z,0.541,99.7294,140.174,4.6,mb,64.0,140.0,2.283,0.82,us,us7000nggw,2024-09-26T01:35:43.040Z,"105 km SSE of Padangsidempuan, Indonesia",earthquake,7.72,7.891,0.079,48.0,reviewed,us,us
454,2024-09-25T21:12:29.614Z,-28.5022,-69.4005,101.697,4.4,mwr,44.0,49.0,1.249,1.19,us,us7000ngg1,2024-09-25T21:41:47.040Z,"120 km WNW of Vinchina, Argentina",earthquake,6.79,6.946,0.065,23.0,reviewed,us,us
455,2024-09-25T21:10:39.972Z,-21.6459,169.2794,10.0,4.7,mb,45.0,93.0,1.953,0.58,us,us7000ngg2,2024-09-25T23:38:36.040Z,"145 km E of Tadine, New Caledonia",earthquake,5.09,1.88,0.079,49.0,reviewed,us,us
456,2024-09-25T20:42:17.303Z,-15.2828,168.076,10.0,4.6,mb,26.0,129.0,6.36,1.01,us,us7000ngeh,2024-09-25T21:20:46.040Z,"101 km ENE of Luganville, Vanuatu",earthquake,9.87,1.797,0.122,20.0,reviewed,us,us
459,2024-09-25T16:17:53.928Z,3.5043,126.9636,48.542,4.6,mb,51.0,78.0,2.744,0.79,us,us7000ng70,2024-09-27T04:25:54.040Z,"228 km NNW of Tobelo, Indonesia",earthquake,8.76,7.582,0.086,40.0,reviewed,us,us
461,2024-09-25T14:01:05.268Z,-57.732,-6.9053,10.0,5.3,mb,34.0,78.0,14.098,0.73,us,us7000ng5k,2024-09-25T14:19:48.040Z,southern Mid-Atlantic Ridge,earthquake,10.04,1.539,0.083,49.0,reviewed,us,us
463,2024-09-25T13:11:41.376Z,-17.4734,167.8616,47.047,4.7,mb,30.0,184.0,4.562,0.67,us,us7000ng5d,2024-09-25T19:27:08.853Z,"56 km WNW of Port-Vila, Vanuatu",earthquake,5.91,7.468,0.118,22.0,reviewed,us,us
464,2024-09-25T13:02:14.144Z,27.905,131.5628,10.0,4.6,mb,68.0,83.0,2.099,0.75,us,us7000ng5a,2024-10-01T12:57:29.040Z,"201 km ESE of Tatsugō, Japan",earthquake,5.9,1.838,0.081,46.0,reviewed,us,us
466,2024-09-25T11:50:04.359Z,38.2304,42.5891,10.0,4.6,mb,85.0,86.0,0.378,0.55,us,us7000ng4v,2024-09-25T12:13:32.040Z,"14 km E of Hizan, Turkey",earthquake,4.97,1.885,0.07,61.0,reviewed,us,us
472,2024-09-25T06:43:21.986Z,14.4106,-93.1275,10.0,5.3,mww,92.0,130.0,2.091,1.49,us,us7000ng3m,2024-09-26T07:00:09.861Z,"83 km WSW of Puerto Madero, Mexico",earthquake,7.04,1.835,0.046,46.0,reviewed,us,us
474,2024-09-25T02:11:35.854Z,14.3305,-93.1849,10.0,4.5,mb,46.0,191.0,1.593,0.86,us,us7000ng2u,2024-09-30T03:51:52.040Z,"92 km WSW of Puerto Madero, Mexico",earthquake,10.48,1.984,0.042,163.0,reviewed,us,us
475,2024-09-25T02:04:21.844Z,-11.2636,162.1131,10.0,4.6,mb,32.0,116.0,2.798,0.8,us,us7000ng2t,2024-09-30T03:44:24.040Z,"91 km SSE of Kirakira, Solomon Islands",earthquake,10.53,1.893,0.117,27.0,reviewed,us,us
476,2024-09-25T01:57:28.855Z,-21.1791,-70.3438,68.075,4.4,mb,29.0,112.0,0.399,0.94,us,us7000ng2s,2024-09-30T03:38:22.958Z,"101 km SSW of La Tirana, Chile",earthquake,6.27,4.983,0.134,17.0,reviewed,us,us
479,2024-09-24T21:58:08.968Z,-16.8608,-176.9431,10.0,5.1,mb,77.0,50.0,2.781,1.02,us,us7000ng1k,2024-09-24T22:20:30.040Z,Fiji region,earthquake,7.67,1.799,0.037,239.0,reviewed,us,us
482,2024-09-24T17:07:41.463Z,41.5856,143.2815,45.978,4.5,mb,44.0,102.0,0.439,0.62,us,us7000nfz4,2024-09-24T19:35:09.040Z,"67 km SSE of Honchō, Japan",earthquake,7.23,5.733,0.089,37.0,reviewed,us,us
483,2024-09-24T14:24:26.960Z,-25.8787,-71.0032,53.668,5.2,mww,188.0,43.0,0.452,0.87,us,us6000nu2l,2024-09-27T18:09:28.185Z,"73 km SW of Taltal, Chile",earthquake,6.15,3.731,0.057,30.0,reviewed,us,us
484,2024-09-24T13:32:03.987Z,-56.4084,-27.7737,68.717,4.6,mb,23.0,126.0,5.409,0.69,us,us6000nu2f,2024-09-24T18:52:24.040Z,South Sandwich Islands region,earthquake,19.81,11.328,0.172,10.0,reviewed,us,us
485,2024-09-24T10:58:37.018Z,-4.3619,143.1211,84.354,5.0,mb,51.0,68.0,3.032,0.57,us,us6000nu21,2024-09-24T11:16:05.040Z,"37 km ESE of Ambunti, Papua New Guinea",earthquake,8.23,8.433,0.077,55.0,reviewed,us,us
486,2024-09-24T10:37:50.067Z,21.1143,94.985,127.9,4.6,mb,101.0,63.0,4.568,0.49,us,us6000nu1v,2024-09-24T13:24:50.040Z,"26 km SSW of Pakokku, Myanmar",earthquake,3.08,7.011,0.058,89.0,reviewed,us,us
487,2024-09-24T09:24:25.235Z,12.6377,93.5662,97.537,4.6,mb,54.0,67.0,5.678,0.68,us,us6000nu1i,2024-09-24T13:45:47.040Z,"138 km NE of Bamboo Flat, India",earthquake,10.7,2.82,0.084,43.0,reviewed,us,us
492,2024-09-24T06:59:45.131Z,-25.4537,-115.954,10.0,4.8,mb,77.0,163.0,6.171,0.8,us,us6000nu14,2024-09-24T07:48:18.040Z,southern East Pacific Rise,earthquake,14.66,1.927,0.042,178.0,reviewed,us,us
494,2024-09-24T06:00:53.328Z,31.3961,140.0063,62.992,4.6,mb,40.0,134.0,4.664,0.89,us,us6000nu0y,2024-09-24T06:34:59.040Z,"Izu Islands, Japan region",earthquake,11.04,8.591,0.105,27.0,reviewed,us,us
500,2024-09-24T00:58:45.603Z,-31.363,-65.6286,145.195,5.0,mww,90.0,43.0,2.618,0.78,us,us6000ntzv,2024-09-24T01:45:49.884Z,"51 km W of Salsacate, Argentina",earthquake,7.82,6.019,0.068,21.0,reviewed,us,us
501,2024-09-24T00:38:04.974Z,29.6915,130.6911,37.743,4.6,mb,55.0,64.0,1.823,0.72,us,us6000ntzs,2024-09-24T00:55:09.040Z,"62 km SSE of Koshima, Japan",earthquake,7.85,7.341,0.074,55.0,reviewed,us,us
505,2024-09-23T23:41:10.246Z,19.6376,120.5083,15.995,4.5,mb,41.0,114.0,3.209,0.69,us,us6000ntzi,2024-09-23T23:57:11.040Z,"122 km NNW of Pagudpud, Philippines",earthquake,8.26,3.026,0.1,29.0,reviewed,us,us
506,2024-09-23T23:14:19.526Z,31.5463,140.0638,11.71,5.6,mww,110.0,86.0,1.579,1.07,us,us6000ntz9,2024-10-07T19:54:32.449Z,"Izu Islands, Japan region",earthquake,7.31,4.231,0.053,34.0,reviewed,us,us
